Rank,Team,2019 other-touchdowns-per-game
1,New England,0.4
2,NY Jets,0.4
2,Tampa Bay,0.4
4,Baltimore,0.4
5,San Francisco,0.3
5,Tennessee,0.3
7,Pittsburgh,0.3
7,LA Rams,0.3
9,New Orleans,0.2
10,Kansas City,0.2
11,Atlanta,0.2
11,Detroit,0.2
11,NY Giants,0.2
11,Indianapolis,0.2
15,Philadelphia,0.2
16,Houston,0.2
16,Seattle,0.2
18,Las Vegas,0.1
18,Chicago,0.1
18,Jacksonville,0.1
18,Miami,0.1
22,Minnesota,0.1
23,Dallas,0.1
23,Washington,0.1
23,Cleveland,0.1
23,Denver,0.1
23,Carolina,0.1
23,LA Chargers,0.1
23,Cincinnati,0.1
30,Buffalo,0.1
31,Arizona,0.0
31,Green Bay,0.0
