Rank,Team,2019 points-per-play-margin
1,Kansas City,0.174
2,Baltimore,0.151
3,San Francisco,0.151
4,New England,0.131
5,Tennessee,0.117
6,Minnesota,0.109
7,New Orleans,0.107
8,Dallas,0.09
9,Green Bay,0.037
10,Buffalo,0.035
11,LA Rams,0.029
12,Pittsburgh,0.014
13,Tampa Bay,0.003
14,Seattle,-0.001
15,Chicago,-0.019
16,Denver,-0.019
17,Houston,-0.021
18,Indianapolis,-0.023
19,Philadelphia,-0.024
20,LA Chargers,-0.036
21,Cleveland,-0.043
22,Arizona,-0.048
23,Detroit,-0.053
24,Atlanta,-0.057
25,NY Jets,-0.057
26,NY Giants,-0.088
27,Washington,-0.103
28,Jacksonville,-0.103
29,Las Vegas,-0.119
30,Carolina,-0.135
31,Cincinnati,-0.14
32,Miami,-0.17
