Rank,Team,2019 opponent-gross-passing-yards-per-game
1,New England,193.5
2,San Francisco,203.1
3,LA Chargers,212.1
4,Buffalo,215.8
5,Pittsburgh,215.9
6,Baltimore,216.1
7,Cleveland,233.8
8,Chicago,237.3
9,Denver,238.9
10,Dallas,242.4
11,Green Bay,242.8
12,LA Rams,245.5
13,Kansas City,248.7
14,Minnesota,249.3
15,Carolina,249.8
16,NY Jets,250.1
17,Jacksonville,255.5
18,Washington,255.8
19,Cincinnati,257.6
20,Atlanta,258.6
21,New Orleans,261.4
22,Philadelphia,262.4
23,Indianapolis,264.4
24,Seattle,268.2
25,Miami,272.1
26,Las Vegas,272.2
27,Tennessee,274.9
28,NY Giants,279.4
29,Houston,282.9
30,Tampa Bay,290.4
31,Detroit,296.2
32,Arizona,299.1
