Rank,Team,2019 opponent-points-per-game
1,New England,14.4
2,Buffalo,16.5
3,Baltimore,18.2
4,Chicago,18.6
5,Pittsburgh,18.9
6,Minnesota,19.4
7,San Francisco,19.5
8,Denver,19.8
9,Dallas,20.1
10,Kansas City,20.2
11,Tennessee,20.6
12,Green Bay,20.7
13,LA Chargers,21.6
14,New Orleans,21.6
15,Philadelphia,21.8
16,NY Jets,22.4
17,LA Rams,22.8
18,Indianapolis,23.3
19,Seattle,24.2
20,Cleveland,24.6
21,Jacksonville,24.8
22,Atlanta,24.9
23,Houston,25.3
24,Las Vegas,26.2
25,Cincinnati,26.3
26,Detroit,26.4
27,Washington,27.2
28,Arizona,27.6
29,Tampa Bay,28.1
30,NY Giants,28.2
31,Carolina,29.4
32,Miami,30.9
