Rank,Team,2019 1st-quarter-points-per-game
1,Baltimore,7.5
2,New England,7.1
3,Tampa Bay,6.6
4,San Francisco,6.5
5,Green Bay,6.4
6,Detroit,6.4
7,Indianapolis,5.6
8,Kansas City,5.5
9,Minnesota,5.4
10,New Orleans,5.4
11,Las Vegas,5.3
12,Tennessee,4.9
13,Denver,4.9
14,Atlanta,4.8
14,Cleveland,4.8
14,Arizona,4.8
17,Seattle,4.6
18,Dallas,4.2
19,Cincinnati,4.1
20,Philadelphia,4.1
21,Houston,3.8
22,Jacksonville,3.8
22,NY Jets,3.8
22,Carolina,3.8
25,Miami,3.4
26,LA Chargers,3.3
27,LA Rams,3.3
28,NY Giants,3.0
29,Buffalo,2.9
30,Pittsburgh,2.9
31,Washington,2.3
31,Chicago,2.3
