Rank,Team,2019 opponent-extra-point-conversion-pct
1,Buffalo,84.00%
2,LA Chargers,84.21%
3,Atlanta,85.37%
4,Tennessee,87.80%
5,NY Jets,87.88%
6,Kansas City,88.89%
7,Baltimore,89.29%
8,Miami,90.38%
9,Green Bay,91.89%
10,New Orleans,92.11%
11,Seattle,92.86%
12,Chicago,93.10%
13,Dallas,93.55%
14,NY Giants,94.34%
15,Philadelphia,94.87%
16,Cleveland,95.45%
17,Jacksonville,95.56%
18,Detroit,95.65%
19,Washington,95.83%
20,Houston,96.08%
21,New England,96.30%
21,Denver,96.30%
23,Pittsburgh,96.77%
24,Minnesota,96.88%
25,San Francisco,97.30%
26,Tampa Bay,97.44%
27,LA Rams,97.56%
28,Cincinnati,97.78%
29,Arizona,98.00%
29,Carolina,98.00%
31,Las Vegas,100.00%
31,Indianapolis,100.00%
