Rank,Team,2019 punt-attempts-per-game
1,NY Jets,5.4
2,Chicago,5.1
3,New England,5.1
4,Buffalo,4.9
5,Washington,4.9
6,Tennessee,4.9
7,Denver,4.9
8,Detroit,4.8
9,Green Bay,4.7
10,Jacksonville,4.7
10,Carolina,4.7
10,Cincinnati,4.7
13,Pittsburgh,4.6
14,Seattle,4.5
15,NY Giants,4.4
16,Arizona,4.4
17,Philadelphia,4.4
18,Miami,4.3
19,Las Vegas,4.2
19,LA Rams,4.2
21,Minnesota,4.1
22,Cleveland,4.1
23,New Orleans,3.8
24,Indianapolis,3.7
25,Houston,3.6
26,Tampa Bay,3.6
27,Atlanta,3.3
28,Dallas,3.2
29,San Francisco,3.2
30,Kansas City,3.1
31,LA Chargers,3.0
32,Baltimore,2.5
