Rank,Team,2019 first-downs-per-game
1,Baltimore,24.4
2,Atlanta,23.9
3,Dallas,23.7
4,Kansas City,22.7
5,Tampa Bay,22.1
6,Philadelphia,22.0
7,LA Chargers,21.8
8,Houston,21.6
9,New Orleans,21.5
10,LA Rams,21.4
11,Indianapolis,21.3
12,Seattle,21.1
13,New England,20.9
14,Carolina,20.9
15,San Francisco,20.9
16,Green Bay,20.2
17,Buffalo,19.9
18,Las Vegas,19.7
18,Miami,19.7
20,Arizona,19.6
21,Detroit,19.6
22,Tennessee,19.5
23,Cincinnati,19.5
24,NY Giants,19.4
25,Cleveland,19.1
26,Minnesota,19.1
27,Jacksonville,18.6
28,Chicago,18.6
29,Denver,17.4
30,Pittsburgh,16.6
31,NY Jets,15.8
32,Washington,15.5
