Rank,Team,2019 opponent-field-goals-made-per-game
1,San Francisco,1.0
1,New England,1.0
3,Buffalo,1.1
4,Las Vegas,1.3
5,Tennessee,1.3
5,Kansas City,1.3
7,Jacksonville,1.4
8,New Orleans,1.4
8,Philadelphia,1.4
10,Chicago,1.4
10,Cleveland,1.4
10,LA Chargers,1.4
13,Houston,1.4
14,LA Rams,1.5
15,Seattle,1.6
16,Washington,1.6
16,Pittsburgh,1.6
16,NY Giants,1.6
19,Baltimore,1.6
20,Dallas,1.6
21,Detroit,1.7
21,Arizona,1.7
21,Carolina,1.7
24,Green Bay,1.7
25,NY Jets,1.8
26,Indianapolis,1.8
27,Minnesota,1.8
28,Atlanta,1.9
28,Cincinnati,1.9
30,Miami,1.9
31,Denver,2.1
32,Tampa Bay,2.3
