Rank,Team,2019 seconds-per-play
1,Carolina,25.8
2,LA Rams,26.4
3,Dallas,26.5
4,Arizona,26.6
5,Atlanta,27.1
6,Cincinnati,27.1
7,Miami,27.2
8,NY Giants,27.2
9,Tampa Bay,27.3
10,Detroit,27.4
11,New England,27.9
12,Buffalo,28.1
13,Chicago,28.5
14,Indianapolis,28.5
15,Houston,28.5
16,Minnesota,28.6
17,Kansas City,28.7
18,Jacksonville,28.7
19,Seattle,28.9
20,Philadelphia,29.0
21,NY Jets,29.0
22,Tennessee,29.3
23,Cleveland,29.3
24,Washington,29.5
25,Denver,29.5
26,Pittsburgh,29.6
27,LA Chargers,29.6
28,Green Bay,29.8
29,Las Vegas,30.1
30,San Francisco,30.4
31,Baltimore,30.6
32,New Orleans,30.7
