Rank,Team,2019 opponent-penalty-yards-per-penalty
1,Miami,9.8
2,Green Bay,9.8
3,Pittsburgh,9.7
4,Indianapolis,9.4
5,Arizona,9.1
6,LA Chargers,8.9
7,Tampa Bay,8.7
8,Jacksonville,8.7
9,Carolina,8.6
10,Denver,8.6
11,Washington,8.6
12,Minnesota,8.5
13,Buffalo,8.5
14,Philadelphia,8.5
15,Atlanta,8.5
16,New England,8.4
17,NY Jets,8.4
18,Las Vegas,8.4
19,Dallas,8.4
20,Detroit,8.2
21,San Francisco,8.2
22,Chicago,8.2
23,Seattle,8.2
24,Tennessee,8.1
25,Cincinnati,8.1
26,Houston,8.0
27,Baltimore,8.0
28,LA Rams,7.9
29,NY Giants,7.9
30,Cleveland,7.8
31,Kansas City,7.8
32,New Orleans,7.7
