Rank,Team,2019 opponent-other-touchdowns-per-game
1,Dallas,0.0
1,Chicago,0.0
1,Tennessee,0.0
1,Green Bay,0.0
1,Minnesota,0.0
6,Houston,0.1
7,New Orleans,0.1
7,Philadelphia,0.1
9,Kansas City,0.1
10,Baltimore,0.1
11,Pittsburgh,0.1
11,Jacksonville,0.1
11,NY Jets,0.1
11,Cleveland,0.1
15,San Francisco,0.2
16,Buffalo,0.2
17,Washington,0.2
17,Las Vegas,0.2
17,Detroit,0.2
17,Miami,0.2
17,Denver,0.2
22,Atlanta,0.3
22,Carolina,0.3
22,LA Chargers,0.3
22,LA Rams,0.3
22,Indianapolis,0.3
27,Arizona,0.3
27,NY Giants,0.3
27,Cincinnati,0.3
30,Seattle,0.3
31,New England,0.4
32,Tampa Bay,0.4
