Rank,Team,2019 opponent-net-yards-per-successful-punt
1,Indianapolis,38.0
2,New Orleans,38.1
3,NY Jets,38.9
4,Pittsburgh,40.0
5,Kansas City,40.2
6,Arizona,40.3
7,Chicago,40.3
8,Cincinnati,40.4
9,NY Giants,40.6
10,Buffalo,40.9
11,Detroit,41.1
12,Philadelphia,41.2
13,Miami,41.2
14,LA Rams,41.3
15,New England,41.4
16,LA Chargers,41.4
17,Cleveland,41.5
18,Washington,41.6
19,Denver,41.9
20,Green Bay,42.0
21,Tennessee,42.0
22,Baltimore,42.0
23,San Francisco,42.1
24,Jacksonville,42.1
25,Atlanta,42.2
26,Houston,42.2
27,Carolina,42.5
28,Seattle,42.7
29,Las Vegas,42.7
30,Minnesota,42.8
31,Dallas,43.1
32,Tampa Bay,44.0
