Rank,Team,2019 passing-first-down-pct
1,Tampa Bay,69.12%
2,Carolina,68.66%
3,Atlanta,67.36%
4,Miami,66.67%
5,New Orleans,66.12%
6,LA Rams,64.91%
7,NY Jets,64.03%
8,LA Chargers,63.04%
9,Detroit,62.62%
10,Washington,62.10%
11,Las Vegas,61.59%
12,Jacksonville,61.41%
13,Cincinnati,61.22%
14,Dallas,60.42%
15,Houston,60.31%
16,NY Giants,60.13%
17,Green Bay,60.06%
18,Chicago,59.93%
19,Philadelphia,59.89%
20,Cleveland,59.02%
21,Kansas City,58.80%
22,New England,58.43%
23,Denver,58.06%
24,Seattle,56.58%
25,Arizona,56.05%
26,Pittsburgh,55.47%
27,San Francisco,55.42%
28,Minnesota,54.81%
29,Tennessee,53.91%
30,Buffalo,52.07%
31,Indianapolis,48.53%
32,Baltimore,45.54%
