Rank,Team,2019 rushing-yards-pct
1,Baltimore,49.37%
2,San Francisco,41.03%
3,Tennessee,40.86%
4,Indianapolis,40.66%
5,Buffalo,39.00%
6,Minnesota,37.15%
7,Arizona,36.40%
8,Washington,36.02%
9,Seattle,35.18%
10,Cleveland,34.85%
11,Denver,34.79%
12,Houston,34.03%
13,Philadelphia,34.01%
14,Carolina,33.26%
15,Pittsburgh,32.68%
16,Las Vegas,32.53%
17,Green Bay,31.56%
18,Jacksonville,31.24%
19,Dallas,31.18%
20,NY Giants,31.11%
21,Chicago,30.70%
22,New England,30.16%
23,Detroit,29.72%
24,Cincinnati,29.35%
25,New Orleans,29.10%
26,NY Jets,28.78%
27,Kansas City,26.40%
28,LA Rams,24.99%
29,LA Chargers,24.72%
30,Tampa Bay,23.89%
31,Miami,23.31%
32,Atlanta,22.40%
