Rank,Team,2019 tackles-per-game
1,Washington,64.6
2,Arizona,63.9
3,NY Giants,63.8
4,LA Rams,62.9
5,Miami,62.4
6,Pittsburgh,62.3
7,Tennessee,61.6
8,Minnesota,60.3
9,Denver,60.3
10,Cincinnati,60.3
11,Indianapolis,59.6
12,Atlanta,59.6
13,Buffalo,59.1
14,Seattle,58.9
15,Detroit,58.8
16,Dallas,58.1
17,Carolina,57.9
18,Kansas City,57.7
19,Houston,57.2
20,NY Jets,56.6
21,LA Chargers,56.1
22,Green Bay,55.7
23,Jacksonville,55.6
24,Cleveland,55.4
25,Tampa Bay,55.2
26,Chicago,54.8
27,San Francisco,54.6
28,New England,54.4
29,New Orleans,53.9
30,Las Vegas,53.1
31,Philadelphia,50.5
32,Baltimore,49.2
