Rank,Team,2019 gross-punt-yards-per-game
1,NY Jets,249.4
2,Washington,244.9
3,Tennessee,231.6
4,New England,227.5
5,Chicago,224.1
6,Jacksonville,219.2
7,Denver,216.5
8,Carolina,215.8
9,Detroit,215.3
10,Cincinnati,212.1
11,Pittsburgh,210.5
12,Green Bay,207.3
13,Arizona,205.5
14,Buffalo,205.4
15,Seattle,203.7
16,Philadelphia,201.6
17,NY Giants,198.6
18,LA Rams,195.5
19,Miami,194.1
20,Las Vegas,192.6
21,Minnesota,188.3
22,Cleveland,184.4
23,New Orleans,176.4
24,Houston,164.0
25,Indianapolis,163.7
26,Tampa Bay,154.0
27,San Francisco,141.2
28,LA Chargers,141.0
29,Atlanta,138.1
30,Kansas City,130.1
31,Dallas,129.9
32,Baltimore,111.7
