Rank,Team,2019 points-per-field-goal-attempt
1,Jacksonville,2.9
2,Baltimore,2.9
3,Minnesota,2.8
4,Pittsburgh,2.8
5,Green Bay,2.8
6,Kansas City,2.7
7,Arizona,2.7
8,New Orleans,2.6
9,Cincinnati,2.6
10,Cleveland,2.6
10,Philadelphia,2.6
12,Denver,2.6
13,Detroit,2.5
14,Washington,2.5
15,Chicago,2.5
16,Buffalo,2.4
17,New England,2.4
18,San Francisco,2.4
19,Atlanta,2.4
20,Houston,2.4
21,Carolina,2.3
21,Seattle,2.3
23,Tampa Bay,2.3
24,Miami,2.3
25,LA Chargers,2.3
26,Dallas,2.3
27,Las Vegas,2.2
28,LA Rams,2.2
29,Indianapolis,2.1
30,NY Giants,2.1
31,NY Jets,2.0
32,Tennessee,1.4
