Rank,Team,2019 opponent-kicking-points-per-game
1,Buffalo,4.4
2,New England,4.5
3,San Francisco,4.9
4,Kansas City,5.6
5,Tennessee,5.8
6,Chicago,6.0
7,Baltimore,6.2
8,New Orleans,6.3
9,LA Chargers,6.3
10,Philadelphia,6.4
11,Pittsburgh,6.6
12,Dallas,6.7
13,Jacksonville,6.8
14,Seattle,6.8
15,Las Vegas,6.9
15,Cleveland,6.9
17,LA Rams,7.0
18,Houston,7.1
18,Green Bay,7.1
20,NY Jets,7.1
21,Minnesota,7.2
22,Washington,7.6
23,Atlanta,7.8
23,Detroit,7.8
23,NY Giants,7.8
23,Indianapolis,7.8
27,Denver,8.0
28,Arizona,8.1
28,Carolina,8.1
30,Cincinnati,8.4
31,Miami,8.8
32,Tampa Bay,9.3
