Rank,Team,2019 average-team-passer-rating
1,New Orleans,109.5
2,Tennessee,107.9
3,Kansas City,105.6
4,Seattle,105.5
5,Baltimore,103.6
6,Minnesota,102.4
7,Las Vegas,101.0
8,San Francisco,100.2
9,Dallas,99.5
10,Houston,96.5
11,Green Bay,96.3
12,Atlanta,93.8
13,Philadelphia,91.8
14,Jacksonville,90.0
15,LA Chargers,89.0
16,Detroit,88.2
17,Arizona,87.0
18,New England,86.6
19,NY Giants,86.4
20,LA Rams,85.6
21,Indianapolis,85.0
22,Tampa Bay,84.1
23,Denver,84.1
24,Chicago,83.9
25,Washington,83.0
26,Buffalo,82.3
27,NY Jets,80.6
28,Miami,80.0
29,Cleveland,78.4
30,Cincinnati,76.2
31,Pittsburgh,76.1
32,Carolina,74.7
