Rank,Team,2019 opponent-rushing-play-pct
1,Tampa Bay,33.74%
2,New Orleans,35.88%
3,Philadelphia,37.01%
4,Baltimore,38.71%
5,Tennessee,38.79%
6,Indianapolis,38.84%
7,Kansas City,39.09%
8,Seattle,39.15%
9,Houston,39.21%
10,San Francisco,39.79%
11,Minnesota,39.83%
12,Buffalo,40.10%
13,Dallas,40.10%
14,NY Jets,40.21%
15,New England,40.30%
16,Arizona,40.65%
17,Chicago,40.71%
18,Detroit,41.59%
19,LA Rams,42.05%
20,Las Vegas,42.06%
21,Denver,42.47%
22,Carolina,42.71%
23,Atlanta,42.74%
24,Green Bay,43.01%
25,Jacksonville,43.54%
26,NY Giants,44.20%
27,Pittsburgh,44.85%
28,Cleveland,45.66%
29,Washington,45.69%
30,Miami,46.06%
31,LA Chargers,46.48%
32,Cincinnati,48.74%
