Rank,Team,2019 extra-point-attempts-per-game
1,Baltimore,3.5
2,Kansas City,3.4
3,Tennessee,3.2
4,San Francisco,3.1
5,New Orleans,3.0
5,Tampa Bay,3.0
7,Dallas,2.9
8,Houston,2.7
9,New England,2.7
10,Seattle,2.7
11,LA Rams,2.6
12,Green Bay,2.6
12,Minnesota,2.6
14,NY Giants,2.4
14,Indianapolis,2.4
16,Las Vegas,2.3
16,Detroit,2.3
18,Cleveland,2.2
18,Arizona,2.2
18,Carolina,2.2
18,LA Chargers,2.2
22,Philadelphia,2.2
23,Buffalo,1.9
24,Atlanta,1.9
25,Miami,1.9
26,Chicago,1.8
27,Pittsburgh,1.8
28,NY Jets,1.7
29,Denver,1.6
30,Cincinnati,1.6
31,Washington,1.4
32,Jacksonville,1.3
