Rank,Team,2019 opponent-penalty-yards-per-game
1,Pittsburgh,69.9
2,Miami,67.8
3,Atlanta,67.5
4,Arizona,65.1
4,Denver,65.1
6,Indianapolis,65.0
7,Philadelphia,63.1
8,Cincinnati,61.8
9,Tennessee,61.6
10,Tampa Bay,60.7
11,Detroit,60.0
12,LA Chargers,59.9
13,Carolina,58.8
14,Chicago,57.7
15,NY Giants,57.6
16,Green Bay,56.9
17,NY Jets,56.4
18,Kansas City,55.8
19,New England,55.6
20,Jacksonville,55.2
21,San Francisco,54.8
22,Dallas,53.4
23,Houston,53.3
24,Cleveland,52.3
25,LA Rams,51.8
26,Washington,50.3
27,Buffalo,49.1
28,Seattle,48.5
29,Baltimore,47.9
30,Las Vegas,47.7
31,Minnesota,44.6
32,New Orleans,43.5
