Rank,Team,2019 opponent-passing-touchdowns-per-game
1,New England,0.8
2,Buffalo,0.9
3,Baltimore,1.1
4,Chicago,1.1
5,Green Bay,1.1
6,Seattle,1.2
7,Denver,1.2
8,Dallas,1.3
8,Carolina,1.3
8,LA Chargers,1.3
11,Kansas City,1.4
12,Jacksonville,1.4
13,Minnesota,1.4
14,Pittsburgh,1.4
14,LA Rams,1.4
16,San Francisco,1.5
17,Tennessee,1.5
18,NY Jets,1.6
18,Cleveland,1.6
18,Cincinnati,1.6
21,New Orleans,1.6
21,Philadelphia,1.6
23,Atlanta,1.8
24,Indianapolis,1.8
25,Tampa Bay,1.9
25,NY Giants,1.9
27,Las Vegas,2.1
27,Detroit,2.1
29,Houston,2.2
30,Washington,2.2
31,Arizona,2.4
32,Miami,2.4
