Rank,Team,2019 rushing-play-pct
1,Baltimore,54.07%
2,San Francisco,51.39%
3,Tennessee,48.79%
4,Minnesota,48.30%
5,Indianapolis,46.36%
6,Seattle,45.66%
7,Buffalo,45.04%
8,Las Vegas,44.19%
9,Denver,42.87%
10,Pittsburgh,42.16%
11,Houston,42.07%
12,Dallas,42.00%
13,Philadelphia,41.20%
14,New England,40.64%
15,Cleveland,40.39%
16,Washington,40.23%
17,Green Bay,40.19%
18,NY Jets,40.06%
19,Detroit,39.86%
20,New Orleans,39.62%
21,Arizona,39.60%
22,Chicago,38.73%
23,Kansas City,38.57%
24,Jacksonville,38.14%
25,LA Rams,38.01%
26,Tampa Bay,37.66%
27,LA Chargers,36.71%
28,Cincinnati,36.70%
29,Carolina,35.84%
30,NY Giants,35.77%
31,Miami,34.15%
32,Atlanta,33.03%
