Rank,Team,2019 punts-blocked-per-game
1,New England,0.2
2,Washington,0.1
2,NY Jets,0.1
2,Carolina,0.1
2,NY Giants,0.1
6,New Orleans,0.1
7,Houston,0.1
7,Seattle,0.1
7,Minnesota,0.1
10,Dallas,0.0
10,Atlanta,0.0
10,Pittsburgh,0.0
10,Las Vegas,0.0
10,Detroit,0.0
10,Chicago,0.0
10,Jacksonville,0.0
10,San Francisco,0.0
10,Miami,0.0
10,Tennessee,0.0
10,Cleveland,0.0
10,Tampa Bay,0.0
10,Arizona,0.0
10,Kansas City,0.0
10,Denver,0.0
10,Buffalo,0.0
10,LA Chargers,0.0
10,LA Rams,0.0
10,Green Bay,0.0
10,Cincinnati,0.0
10,Baltimore,0.0
10,Philadelphia,0.0
10,Indianapolis,0.0
