Rank,Team,2019 fourth-downs-per-game
1,NY Giants,1.9
2,Miami,1.8
3,Houston,1.7
4,Baltimore,1.6
5,Cincinnati,1.6
6,Jacksonville,1.6
7,Philadelphia,1.5
8,Carolina,1.5
8,Indianapolis,1.5
10,Atlanta,1.3
10,Chicago,1.3
12,Arizona,1.3
13,Las Vegas,1.2
13,NY Jets,1.2
15,LA Chargers,1.1
16,Buffalo,1.1
17,Cleveland,1.1
17,Tampa Bay,1.1
19,Dallas,1.0
19,Denver,1.0
21,Minnesota,0.9
22,New England,0.9
23,Pittsburgh,0.9
24,Tennessee,0.9
25,Green Bay,0.9
26,Washington,0.9
27,Seattle,0.8
28,Detroit,0.8
28,LA Rams,0.8
30,New Orleans,0.8
31,San Francisco,0.7
31,Kansas City,0.7
