Rank,Team,2019 opponent-1st-half-points-per-game
1,Buffalo,6.6
2,Denver,7.8
3,New England,8.4
4,San Francisco,8.5
5,Chicago,8.6
6,New Orleans,9.5
7,Baltimore,9.9
8,Pittsburgh,10.1
9,Kansas City,10.4
10,Minnesota,10.6
11,LA Chargers,11.0
12,Tennessee,11.2
13,Green Bay,11.2
14,Indianapolis,11.3
15,LA Rams,11.3
16,Dallas,11.5
17,Cleveland,11.6
18,Philadelphia,12.4
19,Las Vegas,12.5
20,Detroit,12.6
21,Houston,12.7
22,NY Jets,12.7
23,Seattle,12.7
24,Jacksonville,13.3
24,Tampa Bay,13.3
26,Washington,13.9
26,Arizona,13.9
28,NY Giants,14.4
28,Cincinnati,14.4
30,Atlanta,14.4
30,Miami,14.4
32,Carolina,14.9
