Rank,Team,2019 opp-yards-per-point
1,New England,19.1
2,Buffalo,18.3
3,Tennessee,17.9
4,Kansas City,17.4
5,Minnesota,17.4
6,Chicago,17.4
7,Green Bay,17.1
8,Denver,17.1
9,Baltimore,16.5
10,Dallas,16.3
11,Pittsburgh,16.1
12,Houston,15.5
13,New Orleans,15.5
14,Seattle,15.5
15,Philadelphia,15.3
16,Detroit,15.1
17,Jacksonville,15.1
18,Cincinnati,15.0
19,LA Rams,14.9
20,Indianapolis,14.9
21,Cleveland,14.7
22,San Francisco,14.6
23,Arizona,14.6
24,LA Chargers,14.5
25,NY Jets,14.4
26,Atlanta,14.3
27,Washington,14.2
28,Las Vegas,13.5
29,NY Giants,13.4
30,Miami,12.9
31,Carolina,12.7
32,Tampa Bay,12.3
