Rank,Team,2019 opponent-pass-attempts-per-game
1,LA Chargers,29.0
2,Cincinnati,31.2
3,Cleveland,32.1
4,Pittsburgh,32.1
5,Jacksonville,32.3
6,New England,32.5
7,Green Bay,32.5
8,Las Vegas,32.9
9,Baltimore,32.9
10,San Francisco,33.1
11,Atlanta,33.5
12,Denver,33.6
13,Washington,33.8
14,Buffalo,34.0
14,Carolina,34.0
16,Miami,34.1
17,NY Giants,34.8
18,LA Rams,35.1
18,Indianapolis,35.1
20,Philadelphia,35.4
21,Dallas,35.6
22,Chicago,35.7
23,Seattle,36.3
24,Minnesota,36.3
25,NY Jets,36.6
26,Kansas City,36.7
27,Houston,37.2
28,New Orleans,37.3
29,Arizona,37.6
30,Detroit,38.2
31,Tennessee,38.4
32,Tampa Bay,41.5
