Rank,Team,2019 passing-touchdowns-per-game
1,Baltimore,2.2
2,New Orleans,2.2
3,Kansas City,2.1
4,Tampa Bay,2.1
5,Dallas,1.9
5,NY Giants,1.9
7,Tennessee,1.8
8,Seattle,1.8
9,Atlanta,1.8
10,Detroit,1.8
11,Houston,1.7
11,Green Bay,1.7
13,Philadelphia,1.6
14,San Francisco,1.6
15,Minnesota,1.6
16,Jacksonville,1.5
16,LA Chargers,1.5
18,New England,1.5
19,Las Vegas,1.4
19,Miami,1.4
19,Cleveland,1.4
19,LA Rams,1.4
19,Indianapolis,1.4
24,Buffalo,1.3
25,Chicago,1.3
25,Arizona,1.3
27,NY Jets,1.2
28,Washington,1.1
28,Pittsburgh,1.1
28,Cincinnati,1.1
31,Carolina,1.1
32,Denver,1.0
