Rank,Team,2019 net-yards-per-successful-punt
1,Jacksonville,44.5
2,Washington,44.1
3,NY Giants,43.5
4,Houston,43.4
5,New Orleans,43.0
6,LA Rams,43.0
7,Tennessee,42.8
8,Minnesota,42.5
9,Philadelphia,42.4
10,Cleveland,42.2
11,Cincinnati,42.1
12,Arizona,42.1
13,Detroit,41.8
14,NY Jets,41.6
15,San Francisco,41.5
16,Chicago,41.2
17,Indianapolis,41.2
18,Miami,41.1
19,New England,41.1
20,Seattle,41.1
21,LA Chargers,40.9
22,Baltimore,40.9
23,Pittsburgh,40.9
24,Kansas City,40.4
25,Green Bay,39.8
26,Las Vegas,39.4
27,Denver,39.4
28,Atlanta,38.8
29,Carolina,38.7
30,Tampa Bay,38.3
31,Buffalo,38.1
32,Dallas,37.7
