Rank,Team,2019 net-punt-yards-per-game
1,NY Jets,226.4
2,Washington,217.8
3,Tennessee,209.6
4,Jacksonville,208.8
5,New England,207.8
6,Chicago,206.2
7,Detroit,198.4
8,Cincinnati,197.4
9,Denver,191.9
10,Pittsburgh,188.9
11,Green Bay,187.9
12,NY Giants,187.6
13,Buffalo,186.1
14,Seattle,184.8
15,Philadelphia,184.5
16,Carolina,181.6
17,Arizona,181.5
18,LA Rams,177.4
19,Miami,177.3
20,Minnesota,174.7
21,Cleveland,168.7
22,Las Vegas,165.2
23,New Orleans,164.5
24,Houston,156.7
25,Indianapolis,152.1
26,Tampa Bay,136.4
27,San Francisco,131.1
28,Atlanta,126.1
29,LA Chargers,122.8
30,Kansas City,119.1
31,Dallas,117.8
32,Baltimore,98.6
