Rank,Team,2019 opponent-first-downs-per-game
1,New England,16.5
2,Baltimore,17.1
3,LA Chargers,17.8
4,San Francisco,17.8
5,Philadelphia,17.9
6,Buffalo,18.5
7,NY Jets,18.9
8,Pittsburgh,19.0
9,Denver,19.1
10,Chicago,19.1
11,Green Bay,19.6
12,New Orleans,19.6
13,Indianapolis,20.2
14,Minnesota,20.2
15,LA Rams,20.3
16,Dallas,20.4
17,Cincinnati,20.5
18,Atlanta,20.6
19,Tampa Bay,20.7
20,Jacksonville,21.3
21,NY Giants,21.4
22,Kansas City,21.5
23,Las Vegas,21.5
24,Tennessee,21.5
25,Seattle,21.6
26,Cleveland,21.6
27,Washington,22.1
28,Houston,22.2
29,Carolina,22.2
30,Miami,22.6
31,Detroit,22.8
32,Arizona,23.4
