Rank,Team,2019 opponent-fumbles-lost-per-game
1,Pittsburgh,1.1
2,Tampa Bay,1.0
3,San Francisco,0.9
4,Seattle,0.9
4,Minnesota,0.9
6,Baltimore,0.7
7,Detroit,0.7
7,LA Rams,0.7
9,Houston,0.7
10,New Orleans,0.6
10,New England,0.6
12,Dallas,0.6
12,Arizona,0.6
14,Buffalo,0.6
15,Tennessee,0.6
16,Washington,0.6
16,Chicago,0.6
16,Jacksonville,0.6
16,NY Jets,0.6
20,Philadelphia,0.5
21,Atlanta,0.5
21,Indianapolis,0.5
23,Green Bay,0.4
24,Denver,0.4
24,Carolina,0.4
26,Kansas City,0.4
27,Las Vegas,0.4
27,Cleveland,0.4
27,NY Giants,0.4
30,Cincinnati,0.3
31,Miami,0.2
31,LA Chargers,0.2
