Rank,Team,2019 qb-sacked-per-game
1,LA Rams,1.4
2,Dallas,1.4
3,New Orleans,1.6
3,New England,1.6
5,Kansas City,1.7
6,Las Vegas,1.8
7,Baltimore,1.9
8,Pittsburgh,2.0
8,Indianapolis,2.0
10,Minnesota,2.1
11,San Francisco,2.1
12,LA Chargers,2.1
13,Green Bay,2.3
14,Buffalo,2.5
15,Cleveland,2.6
15,Denver,2.6
17,Philadelphia,2.6
18,Jacksonville,2.6
19,Detroit,2.7
19,NY Giants,2.7
21,Chicago,2.8
22,Tampa Bay,2.9
23,Cincinnati,3.0
23,Seattle,3.0
25,Atlanta,3.1
25,Washington,3.1
25,Arizona,3.1
28,Tennessee,3.2
29,NY Jets,3.3
30,Houston,3.4
31,Miami,3.6
31,Carolina,3.6
