Rank,Team,2019 opponent-punt-attempts-per-game
1,Indianapolis,3.4
2,Kansas City,3.5
3,Houston,3.6
4,Miami,3.6
5,Atlanta,3.6
5,Washington,3.6
5,Arizona,3.6
8,Seattle,3.7
9,Las Vegas,3.8
9,LA Chargers,3.8
11,Cleveland,3.8
12,Minnesota,3.8
13,Tampa Bay,4.0
13,Green Bay,4.0
15,Detroit,4.1
16,Baltimore,4.1
17,Tennessee,4.2
18,Carolina,4.3
19,Dallas,4.3
19,Jacksonville,4.3
19,Cincinnati,4.3
22,Denver,4.4
22,NY Giants,4.4
24,Pittsburgh,4.6
24,LA Rams,4.6
26,San Francisco,4.6
27,New Orleans,4.6
28,Chicago,4.7
29,NY Jets,5.1
30,Buffalo,5.2
31,Philadelphia,5.3
32,New England,5.6
