Rank,Team,2019 1st-half-points-per-game
1,Tampa Bay,17.2
2,Kansas City,17.2
3,Baltimore,17.1
4,San Francisco,15.4
5,New Orleans,14.1
6,Minnesota,13.7
7,New England,13.4
8,Dallas,12.9
9,Las Vegas,12.4
9,LA Rams,12.4
11,Detroit,12.1
12,Indianapolis,12.1
13,Green Bay,11.8
14,Cleveland,11.7
15,NY Giants,11.6
16,Seattle,11.1
17,Denver,10.8
18,Arizona,10.8
19,Miami,10.6
20,LA Chargers,10.5
21,Houston,10.3
22,Philadelphia,10.3
23,Tennessee,10.1
24,Atlanta,9.9
25,Carolina,9.8
26,Buffalo,9.6
27,Cincinnati,9.6
28,Pittsburgh,8.9
29,NY Jets,8.6
30,Washington,8.2
31,Jacksonville,7.4
32,Chicago,7.3
