Rank,Team,2019 opponent-rushing-touchdown-pct
1,Arizona,17.31%
2,Indianapolis,19.51%
3,Pittsburgh,21.88%
4,Tampa Bay,22.92%
5,Houston,25.93%
6,Miami,26.32%
7,Detroit,26.53%
8,Washington,26.92%
9,New England,28.57%
10,Atlanta,28.89%
11,Denver,29.03%
12,Las Vegas,29.41%
13,Minnesota,30.56%
14,NY Jets,30.77%
15,San Francisco,31.11%
16,New Orleans,32.56%
16,Philadelphia,32.56%
18,NY Giants,35.19%
19,LA Rams,35.71%
20,Cincinnati,36.17%
21,Tennessee,36.96%
22,LA Chargers,37.50%
23,Kansas City,37.78%
24,Baltimore,39.39%
25,Dallas,40.00%
26,Buffalo,40.63%
27,Cleveland,41.30%
28,Seattle,47.06%
29,Chicago,48.48%
30,Jacksonville,48.94%
31,Green Bay,51.22%
32,Carolina,55.36%
