Rank,Team,2019 assisted-tackles-per-game
1,Miami,24.6
2,Atlanta,23.4
3,LA Rams,22.8
4,NY Giants,22.6
5,Seattle,22.3
6,Cincinnati,22.1
7,Denver,21.1
8,Washington,20.6
9,Tennessee,20.5
10,Dallas,20.2
11,Arizona,19.6
12,Pittsburgh,19.6
13,Carolina,18.9
14,Kansas City,18.8
15,Buffalo,18.7
16,Minnesota,18.2
17,Houston,17.9
18,NY Jets,17.8
19,LA Chargers,17.4
20,Green Bay,17.3
21,Jacksonville,17.2
22,Indianapolis,17.1
23,Detroit,16.8
24,New England,16.1
25,Cleveland,15.9
26,San Francisco,15.6
27,Tampa Bay,15.4
28,Philadelphia,15.1
29,New Orleans,15.0
30,Baltimore,14.9
31,Las Vegas,13.7
32,Chicago,13.6
