Rank,Team,2019 opp-3rd-quarter-points-per-game
1,Chicago,2.8
2,New England,3.0
3,Pittsburgh,3.1
4,Baltimore,3.8
5,Seattle,3.8
6,Kansas City,3.9
7,Atlanta,4.3
7,Detroit,4.3
9,Buffalo,4.4
10,San Francisco,4.4
11,LA Rams,4.4
12,Philadelphia,4.4
13,NY Jets,4.6
14,Tennessee,4.6
15,Green Bay,4.7
16,Minnesota,4.8
17,Dallas,4.9
18,Arizona,4.9
19,New Orleans,5.2
20,Jacksonville,5.4
21,Denver,5.4
22,LA Chargers,5.5
22,NY Giants,5.5
24,Washington,5.6
25,Indianapolis,5.8
26,Houston,6.0
26,Cincinnati,6.0
28,Cleveland,6.1
29,Tampa Bay,6.3
30,Miami,6.6
31,Las Vegas,6.9
32,Carolina,8.0
