Rank,Team,2019 penalty-yards-per-penalty
1,LA Rams,7.6
2,Green Bay,7.7
3,Washington,7.9
4,Arizona,7.9
5,Baltimore,8.0
6,Buffalo,8.0
7,Atlanta,8.0
8,Pittsburgh,8.0
9,Chicago,8.1
10,Cincinnati,8.2
11,Houston,8.2
12,Philadelphia,8.2
13,Seattle,8.3
14,Denver,8.3
15,Detroit,8.3
16,Tampa Bay,8.4
17,Miami,8.4
18,LA Chargers,8.5
19,Indianapolis,8.5
20,New Orleans,8.6
21,Carolina,8.7
22,NY Giants,8.7
23,San Francisco,8.8
24,New England,8.8
25,Jacksonville,8.8
26,Las Vegas,8.9
27,Cleveland,9.1
28,Tennessee,9.1
29,Dallas,9.2
30,Minnesota,9.3
31,Kansas City,9.3
32,NY Jets,9.6
