Rank,Team,2019 percent-of-games-with-an-interception-thrown
1,Green Bay,27.8%
2,Philadelphia,29.4%
3,Tennessee,31.6%
3,Kansas City,31.6%
5,Seattle,33.3%
6,Baltimore,35.3%
7,Las Vegas,37.5%
7,Jacksonville,37.5%
9,Minnesota,38.9%
10,New Orleans,41.2%
10,Buffalo,41.2%
12,Indianapolis,43.8%
13,Washington,50.0%
13,Arizona,50.0%
15,Houston,55.6%
16,Dallas,56.3%
16,Chicago,56.3%
16,NY Giants,56.3%
19,New England,58.8%
20,Atlanta,62.5%
20,Detroit,62.5%
20,NY Jets,62.5%
20,Denver,62.5%
20,Carolina,62.5%
20,LA Chargers,62.5%
20,LA Rams,62.5%
20,Cincinnati,62.5%
28,San Francisco,63.2%
29,Miami,68.8%
30,Pittsburgh,75.0%
30,Tampa Bay,75.0%
32,Cleveland,81.3%
