Rank,Team,2019 punt-blocked-pct
1,Washington,0.00%
1,Pittsburgh,0.00%
1,New Orleans,0.00%
1,Las Vegas,0.00%
1,Detroit,0.00%
1,Jacksonville,0.00%
1,San Francisco,0.00%
1,NY Jets,0.00%
1,Miami,0.00%
1,Tennessee,0.00%
1,Houston,0.00%
1,Tampa Bay,0.00%
1,New England,0.00%
1,Denver,0.00%
1,Carolina,0.00%
1,LA Chargers,0.00%
1,Green Bay,0.00%
1,Cincinnati,0.00%
1,Seattle,0.00%
1,Philadelphia,0.00%
1,Minnesota,0.00%
1,Indianapolis,0.00%
23,Buffalo,1.19%
24,Chicago,1.23%
25,Arizona,1.43%
26,LA Rams,1.49%
27,Cleveland,1.54%
28,Atlanta,1.89%
29,Dallas,1.96%
30,Baltimore,2.38%
31,NY Giants,2.82%
32,Kansas City,3.45%
