Rank,Team,2019 opponent-red-zone-scores-per-game
1,New England,0.9
2,Denver,1.1
3,Minnesota,1.4
4,Baltimore,1.4
5,Pittsburgh,1.4
6,Buffalo,1.5
6,Philadelphia,1.5
8,LA Chargers,1.5
9,Cincinnati,1.6
10,San Francisco,1.6
11,Green Bay,1.6
12,NY Jets,1.6
12,Indianapolis,1.6
14,Dallas,1.8
14,Chicago,1.8
16,New Orleans,1.8
17,Kansas City,1.8
18,Tampa Bay,1.9
19,Tennessee,1.9
20,Atlanta,1.9
20,NY Giants,1.9
22,Seattle,1.9
23,Jacksonville,2.0
24,Detroit,2.1
24,LA Rams,2.1
26,Cleveland,2.2
27,Washington,2.3
28,Las Vegas,2.3
28,Miami,2.3
28,Arizona,2.3
31,Houston,2.4
32,Carolina,2.6
