Rank,Team,2019 opponent-defensive-points-per-game
1,Dallas,0.0
1,New Orleans,0.0
1,Tennessee,0.0
1,Green Bay,0.0
1,Baltimore,0.0
1,Philadelphia,0.0
7,Minnesota,0.1
8,Chicago,0.1
9,Kansas City,0.4
10,Denver,0.4
10,Carolina,0.4
12,Houston,0.5
13,Buffalo,0.5
14,Detroit,0.9
14,Jacksonville,0.9
16,Miami,1.1
16,Cleveland,1.1
18,San Francisco,1.2
19,Pittsburgh,1.3
19,NY Jets,1.3
21,Washington,1.3
21,Las Vegas,1.3
21,Arizona,1.3
21,LA Chargers,1.3
21,Indianapolis,1.3
26,Atlanta,1.8
26,LA Rams,1.8
28,NY Giants,1.9
29,Seattle,1.9
30,Cincinnati,2.2
31,New England,2.5
32,Tampa Bay,3.2
