Rank,Team,2019 pass-intercepted-pct
1,Green Bay,0.94%
2,Kansas City,1.02%
3,Seattle,1.04%
4,New Orleans,1.14%
5,Philadelphia,1.25%
6,Jacksonville,1.36%
7,New England,1.52%
8,Las Vegas,1.53%
9,Minnesota,1.71%
10,Tennessee,1.76%
11,Dallas,1.84%
12,Indianapolis,1.95%
13,Denver,1.98%
14,Baltimore,2.00%
15,Chicago,2.07%
16,Buffalo,2.14%
17,Arizona,2.17%
18,Atlanta,2.19%
19,Houston,2.29%
20,Cincinnati,2.60%
21,Detroit,2.63%
22,LA Rams,2.69%
23,Washington,2.71%
24,NY Giants,2.80%
25,Miami,2.93%
26,San Francisco,2.99%
27,NY Jets,3.07%
28,Carolina,3.32%
29,LA Chargers,3.35%
30,Pittsburgh,3.73%
31,Cleveland,3.90%
32,Tampa Bay,4.76%
