Rank,Team,2019 opponent-gross-yards-per-successful-punt
1,Arizona,43.5
2,NY Jets,43.6
3,Kansas City,44.0
4,LA Rams,44.1
5,New Orleans,44.2
6,LA Chargers,44.4
7,Philadelphia,44.5
8,Washington,44.5
9,Green Bay,44.5
10,Cincinnati,44.5
11,Buffalo,44.6
12,Miami,44.7
13,New England,44.8
14,NY Giants,45.3
15,Detroit,45.5
16,Jacksonville,45.5
17,Cleveland,45.5
18,Seattle,45.7
19,Chicago,45.9
20,Pittsburgh,46.1
21,Tennessee,46.2
22,Dallas,46.2
23,Carolina,46.3
24,Indianapolis,46.3
25,Denver,46.5
26,Houston,46.6
27,Atlanta,46.7
28,Minnesota,46.7
29,Las Vegas,46.9
30,Tampa Bay,47.0
31,Baltimore,47.2
32,San Francisco,47.3
