Rank,Team,2019 offensive-touchdowns-per-game
1,Baltimore,3.5
2,Kansas City,3.3
3,San Francisco,3.2
4,Tennessee,3.1
5,Dallas,3.0
5,Tampa Bay,3.0
7,New Orleans,2.9
8,Green Bay,2.8
8,Seattle,2.8
10,Houston,2.7
10,Minnesota,2.7
12,LA Rams,2.6
13,NY Giants,2.6
14,New England,2.5
14,Philadelphia,2.5
16,Atlanta,2.4
16,Indianapolis,2.4
18,Arizona,2.4
19,Cleveland,2.3
19,Carolina,2.3
21,LA Chargers,2.3
22,Las Vegas,2.2
22,Detroit,2.2
24,Buffalo,2.1
25,Miami,2.0
26,Chicago,1.8
27,Washington,1.7
27,Jacksonville,1.7
27,Denver,1.7
27,Cincinnati,1.7
31,Pittsburgh,1.6
31,NY Jets,1.6
