Rank,Team,2019 yards-per-point
1,San Francisco,12.6
2,Kansas City,12.9
3,Baltimore,13.0
4,New Orleans,13.2
5,New England,13.8
6,Tampa Bay,13.9
7,Minnesota,13.9
8,Tennessee,14.1
9,Indianapolis,14.5
10,Green Bay,14.7
11,Arizona,15.1
12,Seattle,15.2
13,LA Rams,15.2
14,Houston,15.3
15,Pittsburgh,15.3
16,Philadelphia,15.4
17,NY Jets,15.8
18,NY Giants,15.9
19,Dallas,15.9
20,Atlanta,15.9
21,Carolina,16.1
22,Miami,16.2
23,Detroit,16.3
24,Cleveland,16.3
25,Washington,16.5
26,Denver,16.9
27,Chicago,17.0
28,Buffalo,17.1
29,LA Chargers,17.4
30,Jacksonville,18.2
31,Cincinnati,18.5
32,Las Vegas,18.6
