Rank,Team,2019 opponent-punts-per-play
1,New England,0.1
2,Philadelphia,0.09
3,Buffalo,0.08
4,NY Jets,0.08
5,San Francisco,0.08
6,Chicago,0.07
7,New Orleans,0.07
8,Baltimore,0.07
9,Pittsburgh,0.07
10,Denver,0.07
11,LA Rams,0.07
12,Jacksonville,0.07
13,Dallas,0.07
14,NY Giants,0.07
15,Cincinnati,0.07
16,Carolina,0.07
17,LA Chargers,0.07
18,Green Bay,0.06
19,Tennessee,0.06
20,Las Vegas,0.06
21,Cleveland,0.06
22,Tampa Bay,0.06
23,Detroit,0.06
24,Atlanta,0.06
25,Minnesota,0.06
26,Seattle,0.06
27,Indianapolis,0.06
28,Houston,0.06
29,Miami,0.05
30,Washington,0.05
31,Arizona,0.05
32,Kansas City,0.05
