Rank,Team,2019 opponent-offensive-points-per-game
1,New England,12.1
2,Buffalo,15.1
3,Baltimore,17.5
4,Pittsburgh,17.8
5,San Francisco,18.5
6,Denver,18.6
7,Chicago,18.8
8,Minnesota,19.5
9,Kansas City,19.8
10,LA Chargers,20.1
11,Dallas,20.2
12,Tennessee,20.9
13,Green Bay,21.1
14,LA Rams,21.1
15,NY Jets,21.4
16,New Orleans,21.5
16,Philadelphia,21.5
18,Indianapolis,21.6
19,Seattle,22.2
20,Atlanta,23.6
20,Cleveland,23.6
22,Jacksonville,23.8
23,Cincinnati,24.0
24,Las Vegas,24.8
25,Tampa Bay,24.9
26,Houston,24.9
27,Detroit,25.2
28,Arizona,25.6
29,Washington,26.1
29,NY Giants,26.1
31,Carolina,27.8
32,Miami,29.4
