Rank,Team,2019 opponent-yards-per-game
1,New England,275.6
2,San Francisco,284.8
3,Baltimore,300.5
4,Buffalo,301.9
5,Pittsburgh,304.1
6,LA Chargers,313.1
7,NY Jets,323.1
8,Chicago,324.1
9,Dallas,327.0
10,Philadelphia,334.6
11,New Orleans,334.8
12,Denver,337.0
13,Minnesota,338.7
14,LA Rams,339.6
15,Tampa Bay,343.9
16,Indianapolis,346.8
17,Kansas City,351.7
18,Green Bay,353.9
19,Las Vegas,354.8
20,Atlanta,355.8
21,Cleveland,361.6
22,Tennessee,368.1
23,Seattle,374.0
24,Carolina,374.5
25,Jacksonville,375.4
26,NY Giants,377.3
27,Washington,385.1
28,Houston,392.9
29,Cincinnati,393.7
30,Miami,397.8
31,Detroit,400.4
32,Arizona,402.0
