Rank,Team,2019 opponent-passing-first-down-pct
1,Cleveland,53.33%
2,Pittsburgh,53.95%
3,San Francisco,54.57%
4,LA Chargers,54.74%
5,New England,55.36%
6,Carolina,55.49%
7,Cincinnati,55.79%
8,Washington,56.50%
9,Jacksonville,56.76%
10,Kansas City,57.35%
11,Denver,57.38%
12,Dallas,57.49%
13,Baltimore,57.73%
14,Buffalo,57.96%
15,Atlanta,58.18%
16,Las Vegas,58.43%
17,Miami,59.28%
18,Green Bay,59.38%
19,LA Rams,59.88%
20,NY Giants,61.52%
21,NY Jets,61.92%
22,Chicago,62.09%
23,New Orleans,62.46%
24,Tennessee,62.59%
25,Houston,62.66%
26,Seattle,63.14%
27,Detroit,63.56%
28,Philadelphia,63.93%
29,Indianapolis,64.09%
30,Arizona,64.80%
31,Minnesota,64.84%
32,Tampa Bay,67.07%
