Rank,Team,2019 yards-per-game
1,Dallas,431.5
2,Baltimore,414.8
3,Tampa Bay,397.9
4,Kansas City,384.3
5,Atlanta,379.7
6,Seattle,374.9
7,LA Rams,374.9
8,San Francisco,374.2
9,New Orleans,370.9
10,LA Chargers,367.4
11,Houston,366.3
12,Las Vegas,363.7
13,Philadelphia,356.1
14,New England,351.2
15,Tennessee,351.2
16,Detroit,346.8
17,Green Bay,346.1
18,Minnesota,342.5
19,Carolina,341.8
20,Jacksonville,341.8
21,Arizona,341.7
22,Cleveland,340.9
23,NY Giants,338.5
24,Buffalo,335.8
25,Indianapolis,327.4
26,Cincinnati,323.1
27,Miami,310.0
28,Denver,298.6
29,Chicago,296.8
30,Pittsburgh,276.8
31,Washington,274.7
32,NY Jets,273.0
