Rank,Team,2019 punts-per-play
1,Baltimore,0.04
2,Dallas,0.05
3,LA Chargers,0.05
4,Atlanta,0.05
5,Kansas City,0.05
6,San Francisco,0.05
7,Tampa Bay,0.05
8,Houston,0.06
9,Indianapolis,0.06
10,New Orleans,0.06
11,LA Rams,0.06
12,Philadelphia,0.06
13,Cleveland,0.07
14,Miami,0.07
15,Las Vegas,0.07
16,Minnesota,0.07
17,Carolina,0.07
18,Seattle,0.07
19,Arizona,0.07
20,NY Giants,0.07
21,Cincinnati,0.07
22,Jacksonville,0.07
23,Detroit,0.07
24,New England,0.07
25,Green Bay,0.07
26,Buffalo,0.08
27,Pittsburgh,0.08
28,Chicago,0.08
29,Denver,0.08
30,Tennessee,0.08
31,Washington,0.09
32,NY Jets,0.09
