Rank,Team,2019 opponent-solo-tackles-per-game
1,NY Jets,33.0
2,Washington,33.4
3,Cleveland,36.0
4,Denver,36.6
5,Pittsburgh,37.2
6,LA Chargers,37.3
7,Cincinnati,37.4
8,Tennessee,37.4
9,NY Giants,38.1
10,Carolina,38.2
11,Jacksonville,38.3
12,Green Bay,38.3
12,Minnesota,38.3
14,Tampa Bay,38.6
15,Arizona,39.1
16,Kansas City,39.4
17,Seattle,39.7
18,New Orleans,40.0
19,Detroit,40.4
20,Miami,40.4
21,LA Rams,40.7
22,Dallas,40.8
23,Las Vegas,40.9
24,San Francisco,41.1
25,Houston,41.6
26,Chicago,41.6
27,Buffalo,41.9
28,Indianapolis,42.1
29,Atlanta,43.0
30,Philadelphia,43.2
31,New England,44.0
32,Baltimore,44.4
