Rank,Team,2019 solo-tackles-per-game
1,Arizona,44.3
2,Washington,43.9
3,Pittsburgh,42.8
4,Indianapolis,42.5
5,Minnesota,42.1
6,Detroit,41.9
7,NY Giants,41.3
8,Chicago,41.2
9,Tennessee,41.2
10,Buffalo,40.4
11,LA Rams,40.1
12,Tampa Bay,39.8
13,Cleveland,39.5
14,Las Vegas,39.4
15,Houston,39.3
16,Denver,39.3
17,Carolina,39.1
18,San Francisco,39.1
19,New Orleans,38.9
20,Kansas City,38.9
21,NY Jets,38.8
21,LA Chargers,38.8
23,Green Bay,38.4
24,Jacksonville,38.4
25,New England,38.2
26,Cincinnati,38.2
27,Dallas,37.9
28,Miami,37.9
29,Seattle,36.7
30,Atlanta,36.1
31,Philadelphia,35.4
32,Baltimore,34.3
