Rank,Team,2019 opponent-yards-per-pass-attempt
1,New England,5.4
2,San Francisco,5.4
3,Buffalo,5.8
4,Pittsburgh,6.1
5,Baltimore,6.1
6,Kansas City,6.2
7,Chicago,6.2
8,Minnesota,6.2
9,Dallas,6.3
10,LA Rams,6.5
11,New Orleans,6.5
12,NY Jets,6.5
13,Tampa Bay,6.5
14,Denver,6.7
15,Tennessee,6.8
16,Cleveland,6.8
17,Carolina,6.8
18,LA Chargers,6.9
19,Green Bay,6.9
20,Philadelphia,7.0
21,Seattle,7.1
22,Washington,7.1
23,Indianapolis,7.1
24,Houston,7.2
25,Jacksonville,7.3
26,Atlanta,7.3
27,Detroit,7.4
28,Arizona,7.5
29,NY Giants,7.6
30,Miami,7.7
31,Las Vegas,7.8
32,Cincinnati,7.8
