Rank,Team,2019 defensive-points-per-game
1,Tampa Bay,2.6
2,Baltimore,2.6
3,NY Jets,2.4
4,New England,2.2
5,LA Rams,1.9
6,San Francisco,1.8
7,Tennessee,1.6
8,New Orleans,1.4
9,Pittsburgh,1.3
10,Philadelphia,1.2
11,Seattle,1.2
12,Kansas City,1.1
13,NY Giants,1.0
14,Minnesota,0.9
15,Atlanta,0.9
15,Las Vegas,0.9
15,Jacksonville,0.9
18,Houston,0.8
19,Carolina,0.7
19,Indianapolis,0.7
21,Chicago,0.6
21,Miami,0.6
23,Dallas,0.4
23,Detroit,0.4
23,Cleveland,0.4
23,Denver,0.4
27,Cincinnati,0.1
28,Buffalo,0.1
29,Washington,0.0
29,Arizona,0.0
29,LA Chargers,0.0
29,Green Bay,0.0
