Rank,Team,2019 kickoff-touchback-pct
1,Tampa Bay,89.80%
2,Carolina,86.84%
3,New Orleans,78.22%
4,LA Rams,76.47%
5,Denver,76.39%
6,Indianapolis,75.95%
7,Minnesota,70.83%
8,Washington,70.59%
9,NY Giants,69.44%
10,Seattle,69.15%
11,Miami,67.12%
12,Cincinnati,64.79%
13,New England,63.54%
14,Philadelphia,62.35%
15,Kansas City,58.82%
16,Buffalo,58.02%
17,Green Bay,56.82%
18,Dallas,55.43%
19,Arizona,54.22%
20,Atlanta,54.02%
21,Chicago,53.73%
22,Las Vegas,53.52%
23,Baltimore,53.21%
24,Jacksonville,51.32%
25,Houston,50.00%
26,San Francisco,49.57%
27,LA Chargers,48.00%
28,Tennessee,47.83%
29,NY Jets,47.06%
30,Pittsburgh,41.33%
31,Cleveland,37.97%
32,Detroit,31.25%
