Rank,Team,2019 opponent-net-punt-yards-per-game
1,Indianapolis,130.5
2,Kansas City,139.5
3,Arizona,145.9
4,Miami,146.8
5,Houston,147.7
6,Washington,148.3
7,Atlanta,152.9
8,Seattle,154.1
9,LA Chargers,155.3
10,Cleveland,158.4
11,Las Vegas,160.1
12,Minnesota,161.7
13,Detroit,166.9
14,Green Bay,167.9
15,Baltimore,172.9
16,Cincinnati,174.3
17,New Orleans,174.8
18,Tampa Bay,175.9
19,Tennessee,176.7
20,NY Giants,177.5
21,Carolina,178.0
22,Jacksonville,181.7
23,Pittsburgh,182.6
24,Denver,185.9
25,Dallas,186.1
26,LA Rams,188.3
27,Chicago,188.8
28,San Francisco,192.8
29,NY Jets,197.1
30,Buffalo,213.9
31,Philadelphia,217.9
32,New England,223.9
