Rank,Team,2019 opponent-2nd-half-points-per-game
1,New England,6.1
2,Baltimore,8.4
3,Dallas,8.6
4,Pittsburgh,8.7
5,Minnesota,8.9
6,Tennessee,9.4
7,Philadelphia,9.4
8,Green Bay,9.5
9,Buffalo,9.7
10,Kansas City,9.7
11,NY Jets,9.8
12,Chicago,10.0
13,Atlanta,10.5
14,LA Chargers,10.6
15,San Francisco,10.9
16,LA Rams,11.4
17,Seattle,11.4
18,Jacksonville,11.6
19,Cincinnati,11.7
19,Indianapolis,11.7
21,New Orleans,11.8
22,Denver,11.9
23,Houston,12.6
24,Washington,12.9
25,Cleveland,12.9
26,NY Giants,13.4
27,Arizona,13.5
28,Detroit,13.6
29,Las Vegas,13.7
30,Tampa Bay,14.1
31,Carolina,14.4
32,Miami,16.4
